Year,JerseyNum,Name,Position,Height,Weight,Major,Class,HomeTownHighSchool
2006,16,Natalie Facchini,DS/L,5-7,,,Jr.,"Napa, CA / Vintage HS"
2006,18,Amber Ries,Opp,6-1,,,Jr.,"La Verne, CA / Bonita HS"
2006,19,Kimberly Carpenter,OH,5-8,,,So.,"Lakewood, CA / Saint Joseph HS"
2007,2,Janessa Werhane,OH,5-7,,,Fr.,"Norco, CA / Norco HS"
2007,3,Elaine Chen,S,5-7,,,So.,"Walnut, CA / Walnut HS"
2007,4,Roxanne Brunsting,DS/L,5-10,,,Fr.,"Chula Vista, CA / Bonita Vista HS"
2007,5,Kim Adams,S,5-8,,,Sr.,"Laguna Niguel, CA / Dana Hills HS"
2007,6,Lauren Bradley,MB,6-1,,,R-Fr.,"Valencia, CA / Saugus HS"
2007,7,Karen Reis,OH,5-10,,,So.,"Bakersfield, CA / Garces Memorial HS"
2007,8,Hannah Gary,MB,5-11,,,Sr.,"Steamboat Springs, CO / Steamboat Springs HS"
2007,9,Rebecca Bailey,OH,5-9,,,Jr.,"Escondido, CA / Orange Glen HS"
2007,10,Sylvia Schmidt,OH,5-11,,,So.,"Cupertino, CA / The Harker School"
2007,11,Kacey Martinez,S,5-5,,,Jr.,"Redondo Beach, CA / "
2007,12,Kaitlin Potter,MB,6-0,,,R-Fr.,"Huntington Beach, CA / Ocean View HS"
2007,13,Michelle Torres,DS/L,5-10,,,Jr.,"Diamond Bar, CA / Diamond Bar HS"
2007,14,Casey Wilson,OH,5-10,,,Sr.,"Riverside, CA / Arlington HS"
2007,16,Natalie Facchini,DS/L,5-7,,,Sr.,"Napa, CA / Vintage HS"
2007,17,Cara Simonsen,MB,5-8,,,Fr.,"La Verne, CA / Bonita HS"
2007,18,Amber Ries,Opp,6-1,,,Sr.,"La Verne, CA / Bonita HS"
2007,19,Kimberly Carpenter,OH,5-8,,,Jr.,"Lakewood, CA / Saint Joseph HS"
2008,2,Janessa Werhane,DS/L,5-7,,,R-Fr.,"Norco, CA / Norco HS"
2008,3,Elaine Chen,S,5-7,,,Jr.,"Walnut, CA / Walnut HS"
2008,4,Roxanne Brunsting,DS/L,5-10,,,R-Fr.,"Chula Vista, CA / Bonita Vista HS"
2008,5,Hillary Williamson,OH,5-10,,,Fr.,"Orange, CA / El Modena HS"
2008,6,Lauren Bradley,OH,6-1,,,So.,"Valencia, CA / Saugus HS"
2008,7,Karen Reis,OH,5-10,,,Jr.,"Bakersfield, CA / Garces Memorial HS"
2008,9,Rebecca Bailey,OH,5-9,,,Sr.,"Escondido, CA / Orange Glen HS"
2008,10,Sylvia Schmidt,OH,5-11,,,Jr.,"Cupertino, CA / The Harker School"
2008,11,Kacey Martinez,S,5-5,,,Sr.,"Redondo Beach, CA / "
2008,12,Kaitlin Potter,MB,6-0,,,So.,"Huntington Beach, CA / Ocean View HS"
2008,13,Michelle Torres,DS/L,5-10,,,Sr.,"Diamond Bar, CA / Diamond Bar HS"
2008,14,Katie Condon,OH,5-10,,,Fr.,"Pasadena, CA / Flintridge Sacred Heart Academy HS"
2008,15,Thalia McCann,S,5-9,,,Fr.,"Dana Point, CA / Dana Hills HS"
2008,16,Julia Freidenberg,MB,5-11,,,Fr.,"Seattle, WA / Interlake HS"
2008,17,Cara Simonsen,MB,5-9,,,So.,"La Verne, CA / Bonita HS"
2008,18,Alanna Rutan,OH,6-1,,,Jr.,"San Diego, CA / "
2008,19,Kimberly Carpenter,OH,5-8,,,Sr.,"Lakewood, CA / Saint Joseph HS"
2009,2,Janessa Werhane,DS/L,5-7,,,So.,"Norco, CA / Norco HS"
2009,3,Elaine Chen,S,5-7,,,Sr.,"Walnut, CA / Walnut HS"
2009,4,Roxanne Brunsting,DS/L,5-10,,,So.,"Chula Vista, CA / Bonita Vista HS"
2009,5,Hillary Williamson,OH,5-10,,,So.,"Orange, CA / El Modena HS"
2009,6,Lauren Bradley,OH,6-1,,,Jr.,"Valencia, CA / Saugus HS"
2009,7,Karen Reis,OH,5-10,,,Sr.,"Bakersfield, CA / Garces Memorial HS"
2009,9,Audrey Green,MB,6-4,,,Jr.,"San Marcos, CA / "
2009,10,Sylvia Schmidt,OH,5-11,,,Sr.,"Cupertino, CA / The Harker School"
